City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Surat,IN,21.1667,72.8333,80.58,39,75,11.5,haze
1,Fairbanks,US,64.8378,-147.7164,-12.41,77,1,0.0,clear sky
2,Rikitea,PF,-23.1203,-134.9692,76.57,79,6,20.2,clear sky
3,Albany,US,42.6001,-73.9662,26.1,80,11,4.29,few clouds
4,Avarua,CK,-21.2078,-159.775,77.05,65,40,10.36,scattered clouds
5,Srandakan,ID,-7.9386,110.2506,83.89,68,100,8.41,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,69.04,88,70,6.67,broken clouds
7,Bobrovytsya,UA,50.75,31.3833,38.66,72,100,22.68,overcast clouds
8,Mount Isa,AU,-20.7333,139.5,96.57,11,27,10.36,scattered clouds
9,Butaritari,KI,3.0707,172.7902,81.09,80,80,9.1,light rain
10,Doha,QA,25.2867,51.5333,71.58,78,0,8.05,clear sky
11,Port Alfred,ZA,-33.5906,26.891,65.25,88,100,14.85,light rain
12,Byron Bay,AU,-28.65,153.6167,71.55,97,100,8.25,light rain
13,Punta Arenas,CL,-53.15,-70.9167,46.51,87,75,13.8,light intensity shower rain
14,Cidreira,BR,-30.1811,-50.2056,70.21,67,16,14.7,few clouds
15,Kouroussa,GN,10.65,-9.8833,70.66,28,99,1.77,overcast clouds
16,Khatanga,RU,71.9667,102.5,-32.98,100,81,4.7,broken clouds
17,Hobart,AU,-42.8794,147.3294,83.01,47,20,4.0,few clouds
18,Ushuaia,AR,-54.8,-68.3,42.46,75,75,24.16,light intensity drizzle
19,Tarakan,ID,3.3,117.6333,87.3,79,20,2.3,few clouds
20,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,71.8,96,98,6.04,overcast clouds
21,Minab,IR,27.1467,57.0801,67.5,56,0,4.03,clear sky
22,Lata,PT,40.1629,-8.3327,49.82,87,73,2.98,broken clouds
23,Cherskiy,RU,68.75,161.3,-11.36,99,100,4.38,light snow
24,Vardo,NO,70.3705,31.1107,16.0,79,97,22.5,overcast clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,56.88,92,0,10.0,clear sky
26,Mataura,NZ,-46.1927,168.8643,61.48,53,77,7.11,broken clouds
27,Barrow,US,71.2906,-156.7887,-18.38,69,40,6.91,scattered clouds
28,Severo-Kurilsk,RU,50.6789,156.125,31.21,61,96,25.03,overcast clouds
29,Mogzon,RU,51.7435,111.9606,17.64,67,95,13.06,overcast clouds
30,Kapaa,US,22.0752,-159.319,80.58,82,75,3.0,light rain
31,Bredasdorp,ZA,-34.5322,20.0403,58.28,82,52,5.61,light rain
32,Meulaboh,ID,4.1363,96.1285,79.29,81,96,6.8,overcast clouds
