City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,2021-11-30 01:13:44,68.75,161.3,-12.66,98,100,5.39
1,Butaritari,KI,2021-11-30 01:13:45,3.0707,172.7902,81.43,80,43,10.36
2,Kaitangata,NZ,2021-11-30 01:13:45,-46.2817,169.8464,63.93,71,98,8.99
3,Albany,US,2021-11-30 01:08:34,42.6001,-73.9662,29.26,73,4,1.01
4,Champerico,GT,2021-11-30 01:13:46,14.3,-91.9167,81.36,68,0,3.13
5,Shelopugino,RU,2021-11-30 01:13:47,51.6514,117.5599,-0.63,97,72,2.95
6,Brewster,US,2021-11-30 01:13:47,41.3973,-73.6171,35.01,71,4,4.34
7,Bambous Virieux,MU,2021-11-30 01:13:20,-20.3428,57.7575,74.21,72,9,7.34
8,Provideniya,RU,2021-11-30 01:11:48,64.3833,-173.3,-3.64,59,0,4.47
9,Nogliki,RU,2021-11-30 01:13:49,51.8333,143.1667,16.83,70,100,9.22
10,Ponta Delgada,PT,2021-11-30 01:13:49,37.7333,-25.6667,61.5,67,75,4.61
11,New Norfolk,AU,2021-11-30 01:13:17,-42.7826,147.0587,79.66,28,5,3.0
12,Rikitea,PF,2021-11-30 01:11:36,-23.1203,-134.9692,76.6,78,4,20.04
13,Mataura,NZ,2021-11-30 01:11:54,-46.1927,168.8643,61.48,44,92,5.91
14,Guerrero Negro,MX,2021-11-30 01:13:51,27.9769,-114.0611,67.15,57,0,10.83
15,San Cristobal,VE,2021-11-30 01:13:52,7.7669,-72.225,71.78,97,69,1.9
16,Cape Town,ZA,2021-11-30 01:12:37,-33.9258,18.4232,64.09,79,100,5.77
17,Cocobeach,GA,2021-11-30 01:13:53,1.0002,9.5823,79.36,83,34,5.82
18,Fort Nelson,CA,2021-11-30 01:10:00,58.8053,-122.7002,6.53,97,100,1.48
19,Jiayuguan,CN,2021-11-30 01:13:54,39.8167,98.3,20.19,38,91,1.99
20,Punta Arenas,CL,2021-11-30 01:08:59,-53.15,-70.9167,48.31,66,75,13.8
21,Chepareria,KE,2021-11-30 01:13:55,1.3077,35.2039,60.76,81,100,4.72
22,Puerto Madryn,AR,2021-11-30 01:12:55,-42.7692,-65.0385,60.8,57,0,12.3
23,Hithadhoo,MV,2021-11-30 01:13:07,-0.6,73.0833,81.52,77,100,12.15
24,Sultepec,MX,2021-11-30 01:13:57,18.8667,-99.95,58.89,81,2,2.82
25,Sitka,US,2021-11-30 01:13:58,57.0531,-135.33,39.09,70,90,20.71
26,Busselton,AU,2021-11-30 01:11:56,-33.65,115.3333,63.09,53,94,9.51
27,Puerto Ayora,EC,2021-11-30 01:14:00,-0.7393,-90.3518,69.55,92,67,5.01
28,Richards Bay,ZA,2021-11-30 01:14:00,-28.783,32.0377,72.68,84,100,7.05
29,Port Elizabeth,ZA,2021-11-30 01:11:37,-33.918,25.5701,64.09,87,18,10.49
30,Ushuaia,AR,2021-11-30 01:11:44,-54.8,-68.3,44.26,72,75,28.77
31,Quelimane,MZ,2021-11-30 01:14:02,-17.8786,36.8883,67.42,81,6,3.78
32,Hilo,US,2021-11-30 01:07:39,19.7297,-155.09,80.33,62,40,6.91
33,Semnan,IR,2021-11-30 01:14:03,35.5729,53.3971,45.41,57,0,1.61
34,Upernavik,GL,2021-11-30 01:14:03,72.7868,-56.1549,21.6,96,100,3.87
35,Cidreira,BR,2021-11-30 01:13:23,-30.1811,-50.2056,73.51,61,77,15.23
36,Wiang Sa,TH,2021-11-30 01:14:04,8.6359,99.3666,80.67,97,100,1.25
37,Port Alfred,ZA,2021-11-30 01:11:49,-33.5906,26.891,67.6,88,100,8.84
38,East London,ZA,2021-11-30 01:14:05,-33.0153,27.9116,67.51,86,100,2.82
39,Bloomfield,US,2021-11-30 01:13:34,40.8068,-74.1854,37.04,61,1,1.01
40,Rivera,UY,2021-11-30 01:14:06,-30.9053,-55.5508,61.95,73,0,5.7
41,Lata,PT,2021-11-30 01:11:52,40.1629,-8.3327,49.82,85,71,1.86
42,Izumo,JP,2021-11-30 01:14:07,35.3667,132.7667,59.56,62,100,12.26
43,Arman,RU,2021-11-30 01:14:07,59.7,150.1667,0.01,85,100,8.48
44,Bredasdorp,ZA,2021-11-30 01:13:14,-34.5322,20.0403,59.29,76,9,4.88
45,Sainte-Marie,RE,2021-11-30 01:15:08,-20.8968,55.5496,75.33,87,75,3.44
46,Tuktoyaktuk,CA,2021-11-30 01:15:09,69.4541,-133.0374,-16.6,76,75,16.11
47,Strezhevoy,RU,2021-11-30 01:15:09,60.7333,77.5889,24.78,94,100,11.12
48,Arraial Do Cabo,BR,2021-11-30 01:15:10,-22.9661,-42.0278,74.8,89,5,22.46
49,Paramonga,PE,2021-11-30 01:15:10,-10.6667,-77.8333,66.63,83,51,8.12
50,Kavieng,PG,2021-11-30 01:15:11,-2.5744,150.7967,85.32,67,97,16.26
51,Kapaa,US,2021-11-30 01:11:35,22.0752,-159.319,82.38,79,75,4.0
52,Mar Del Plata,AR,2021-11-30 01:14:20,-38.0023,-57.5575,58.87,90,3,13.0
53,Vaini,TO,2021-11-30 01:11:55,-21.2,-175.2,84.36,61,20,11.5
54,Sirjan,IR,2021-11-30 01:15:13,29.452,55.6814,47.7,48,10,2.82
55,Linqiong,CN,2021-11-30 01:15:14,30.4159,103.4609,49.82,74,48,1.81
56,Hasaki,JP,2021-11-30 01:13:26,35.7333,140.8333,50.29,65,83,12.19
57,Alamogordo,US,2021-11-30 01:15:15,32.8995,-105.9603,58.6,35,1,4.61
58,Salalah,OM,2021-11-30 01:15:15,17.0151,54.0924,77.09,22,0,12.66
59,Lebu,CL,2021-11-30 01:15:16,-37.6167,-73.65,53.94,85,100,17.13
60,Kavaratti,IN,2021-11-30 01:15:17,10.5669,72.642,81.14,77,100,13.94
61,Zhigansk,RU,2021-11-30 01:15:17,66.7697,123.3711,-16.49,98,100,1.68
62,Havre-Saint-Pierre,CA,2021-11-30 01:15:18,50.2334,-63.5986,30.2,93,90,10.36
63,Jamestown,US,2021-11-30 01:13:24,42.097,-79.2353,33.39,93,90,11.5
64,Santiago,CL,2021-11-30 01:11:52,-33.4569,-70.6483,70.18,19,0,11.5
65,Saint-Philippe,RE,2021-11-30 01:11:48,-21.3585,55.7679,76.55,83,42,7.99
66,Xining,CN,2021-11-30 01:15:19,36.6167,101.7667,17.06,51,4,2.06
67,Castro,BR,2021-11-30 01:15:20,-24.7911,-50.0119,65.3,92,20,5.68
68,Normandin,CA,2021-11-30 01:15:20,48.8333,-72.5321,19.71,79,83,3.44
69,Gorontalo,ID,2021-11-30 01:15:21,0.5412,123.0595,79.16,91,100,2.17
70,Esperance,AU,2021-11-30 01:15:22,-33.8667,121.9,60.39,62,100,11.95
71,Smithers,CA,2021-11-30 01:15:22,54.7804,-127.1743,28.72,93,90,3.44
72,Sao Joao Da Barra,BR,2021-11-30 01:15:23,-21.6403,-41.0511,75.2,92,85,16.08
73,Severo-Kurilsk,RU,2021-11-30 01:15:23,50.6789,156.125,32.54,66,98,31.47
74,Beidao,CN,2021-11-30 01:15:24,34.5686,105.8933,34.83,40,0,1.74
75,Lake Havasu City,US,2021-11-30 01:14:18,34.4839,-114.3224,75.24,17,1,1.01
76,Tasiilaq,GL,2021-11-30 01:11:50,65.6145,-37.6368,21.36,88,88,4.16
77,Lorengau,PG,2021-11-30 01:15:25,-2.0226,147.2712,83.12,80,100,10.16
78,Ostrovnoy,RU,2021-11-30 01:15:26,68.0531,39.5131,6.75,74,99,5.95
79,Qaanaaq,GL,2021-11-30 01:13:00,77.484,-69.3632,11.88,58,100,4.85
80,Mareeba,AU,2021-11-30 01:15:27,-17.0,145.4333,92.32,58,31,7.16
81,Avarua,CK,2021-11-30 01:11:56,-21.2078,-159.775,80.65,57,42,13.8
82,Saint George,US,2021-11-30 01:11:01,37.1041,-113.5841,61.27,30,1,0.0
83,Praia Da Vitoria,PT,2021-11-30 01:15:28,38.7333,-27.0667,54.75,94,40,6.91
84,Narsaq,GL,2021-11-30 01:11:59,60.9167,-46.05,34.02,99,100,9.08
85,Hobart,AU,2021-11-30 01:08:09,-42.8794,147.3294,80.02,38,20,3.0
86,Nelson Bay,AU,2021-11-30 01:15:30,-32.7167,152.15,73.29,84,100,1.99
87,Marienburg,PL,2021-11-30 01:15:31,54.0359,19.0266,32.11,82,39,15.77
88,Nikolskoye,RU,2021-11-30 01:13:09,59.7035,30.7861,26.4,95,100,9.1
89,Liusha,CN,2021-11-30 01:15:32,27.2098,108.59,46.22,80,12,2.57
90,Southbridge,US,2021-11-30 01:16:33,42.0751,-72.0334,32.58,71,5,1.01
91,Stephenville,US,2021-11-30 01:15:24,32.2207,-98.2023,65.16,43,1,3.44
92,Gisors,FR,2021-11-30 01:16:35,49.2818,1.7801,41.09,87,100,12.15
93,Makakilo City,US,2021-11-30 01:16:35,21.3469,-158.0858,80.92,61,20,11.5
94,Santa Isabel Do Rio Negro,BR,2021-11-30 01:16:36,-0.4139,-65.0192,79.45,76,100,3.09
95,Atuona,PF,2021-11-30 01:11:34,-9.8,-139.0333,78.96,76,6,21.7
96,Tilichiki,RU,2021-11-30 01:16:37,60.4667,166.1,25.83,97,100,5.01
97,Nueva Loja,EC,2021-11-30 01:16:38,0.0847,-76.8828,72.3,98,100,1.41
98,Bluff,NZ,2021-11-30 01:16:38,-46.6,168.3333,61.81,74,84,3.91
99,Uray,RU,2021-11-30 01:16:39,60.1247,64.7758,25.63,96,100,6.46
